POID,Date,TruckID,PartName,Quantity,UnitCost,TotalCost
PO00001,1/20/2024,2501,EGR Valve,3,212.19,636.57
PO00002,1/20/2024,2501,Air Hose,3,24.83,74.49
PO00003,1/20/2024,2501,Suspension Kit,2,234.86,469.72
PO00004,1/19/2024,2501,Turbocharger,4,1189.7,4758.8
PO00005,1/19/2024,2501,Belt,4,38.81,155.24
PO00006,1/19/2024,2501,Brake Pads,1,77.93,77.93
PO00007,1/3/2024,2501,Engine Oil,4,50.36,201.44
PO00008,1/3/2024,2501,Air Filter,1,20.89,20.89
PO00009,1/3/2024,2501,Transmission Fluid,2,45.13,90.26
PO00010,1/28/2024,2501,Turbocharger,4,1137.78,4551.12
PO00011,1/17/2024,2501,Air Hose,2,39.98,79.96
PO00012,1/15/2024,2501,EGR Valve,3,243.18,729.54
PO00013,1/25/2024,2501,EGR Valve,2,252.88,505.76
PO00014,1/25/2024,2501,Turbocharger,1,1155.07,1155.07
PO00015,1/25/2024,2501,Oil Filter,3,5.69,17.07
PO00016,1/4/2024,2501,Brake Pads,1,89.3,89.3
PO00017,1/2/2024,2501,Coolant,2,34.44,68.88
PO00018,1/2/2024,2501,Headlight,1,55.08,55.08
PO00019,1/15/2024,2501,Engine Oil,3,56.23,168.69
PO00020,1/6/2024,2501,Fuse,3,6.75,20.25
PO00021,1/12/2024,2501,Turbocharger,2,1200.32,2400.64
PO00022,1/12/2024,2501,EGR Valve,2,271.65,543.3
PO00023,1/12/2024,2501,Transmission Fluid,4,42.56,170.24
PO00024,1/23/2024,2502,Fuel Filter,1,27.46,27.46
PO00025,1/23/2024,2502,Oil Filter,4,7.66,30.64
PO00026,1/15/2024,2502,Turbocharger,1,1456.43,1456.43
PO00027,1/15/2024,2502,Tire,3,310.02,930.06
PO00028,1/9/2024,2502,Transmission Fluid,4,53.67,214.68
PO00029,1/3/2024,2502,Transmission Fluid,2,27.72,55.44
PO00030,1/28/2024,2502,Coolant,2,32.09,64.18
PO00031,1/28/2024,2502,Air Hose,4,22.15,88.6
PO00032,1/28/2024,2502,Tire,1,407.76,407.76
PO00033,1/23/2024,2502,Air Hose,4,30.74,122.96
PO00034,1/23/2024,2502,Headlight,1,50.79,50.79
PO00035,1/26/2024,2502,Air Filter,1,23.58,23.58
PO00036,1/26/2024,2502,Engine Oil,2,50.8,101.6
PO00037,1/20/2024,2502,Tire,4,384.67,1538.68
PO00038,1/20/2024,2502,Suspension Kit,3,292.77,878.31
PO00039,1/11/2024,2503,Belt,3,25.04,75.12
PO00040,1/11/2024,2503,Brake Pads,3,142.72,428.16
PO00041,1/28/2024,2503,Tire,3,376.76,1130.28
PO00042,1/28/2024,2503,Belt,2,45.69,91.38
PO00043,1/28/2024,2503,Turbocharger,1,1175.83,1175.83
PO00044,1/28/2024,2503,Engine Oil,1,68.04,68.04
PO00045,1/28/2024,2503,Brake Pads,4,107.21,428.84
PO00046,1/23/2024,2503,Air Hose,1,37.6,37.6
PO00047,1/23/2024,2503,Turbocharger,3,1296.01,3888.03
PO00048,1/25/2024,2503,Air Filter,2,23.39,46.78
PO00049,1/25/2024,2503,Fuse,3,3.95,11.85
PO00050,1/9/2024,2503,EGR Valve,2,291.64,583.28
PO00051,1/27/2024,2503,Coolant,4,20.66,82.64
PO00052,1/17/2024,2503,Fuse,1,9.8,9.8
PO00053,1/22/2024,2503,Air Filter,1,23.08,23.08
PO00054,1/21/2024,2503,Brake Pads,1,122.6,122.6
PO00055,1/21/2024,2503,Fuel Filter,1,24.31,24.31
PO00056,1/21/2024,2503,Turbocharger,3,873.73,2621.19
PO00057,1/11/2024,2503,Brake Pads,4,115.67,462.68
PO00058,1/11/2024,2503,Fuel Filter,4,28.19,112.76
PO00059,1/11/2024,2503,Suspension Kit,3,363.58,1090.74
PO00060,1/6/2024,2504,Oil Filter,2,13.39,26.78
PO00061,1/19/2024,2504,Engine Oil,3,75.15,225.45
PO00062,1/19/2024,2504,Turbocharger,3,1478.92,4436.76
PO00063,1/9/2024,2504,Oil Filter,1,14.11,14.11
PO00064,1/28/2024,2504,Fuel Filter,4,19.09,76.36
PO00065,1/7/2024,2504,Brake Pads,4,50.61,202.44
PO00066,1/2/2024,2504,Air Hose,4,16.39,65.56
PO00067,1/2/2024,2504,Engine Oil,4,33.22,132.88
PO00068,1/2/2024,2504,Brake Pads,1,83.7,83.7
PO00069,1/9/2024,2505,Fuel Filter,3,25.13,75.39
PO00070,1/22/2024,2505,Oil Filter,3,13.42,40.26
PO00071,1/22/2024,2505,Fuel Filter,1,23.72,23.72
PO00072,1/6/2024,2505,Belt,2,31.38,62.76
PO00073,1/25/2024,2505,Air Filter,4,11.48,45.92
PO00074,1/16/2024,2505,Fuse,3,9.31,27.93
PO00075,1/16/2024,2505,Belt,3,24.73,74.19
PO00076,1/16/2024,2505,Turbocharger,3,1071.01,3213.03
PO00077,1/16/2024,2505,Brake Pads,4,134.15,536.6
PO00078,1/16/2024,2505,Headlight,1,83.03,83.03
PO00079,1/1/2024,2505,Transmission Fluid,3,31.13,93.39
PO00080,1/1/2024,2505,Air Filter,3,10.29,30.87
PO00081,1/6/2024,2505,Belt,3,40.4,121.2
PO00082,1/6/2024,2505,Brake Pads,1,127.37,127.37
PO00083,1/6/2024,2505,Fuel Filter,3,12.13,36.39
PO00084,1/21/2024,2505,Transmission Fluid,3,32.19,96.57
PO00085,1/28/2024,2505,Oil Filter,3,11.68,35.04
PO00086,1/28/2024,2505,Fuel Filter,2,21.3,42.6
PO00087,1/28/2024,2505,Brake Pads,3,119.59,358.77
PO00088,1/5/2024,2505,Transmission Fluid,4,52.73,210.92
PO00089,1/5/2024,2505,Fuel Filter,2,24.53,49.06
PO00090,1/20/2024,2506,Fuse,3,5.23,15.69
PO00091,1/20/2024,2506,Transmission Fluid,4,40.3,161.2
PO00092,1/20/2024,2506,EGR Valve,2,152.6,305.2
PO00093,1/18/2024,2506,EGR Valve,4,279.52,1118.08
PO00094,1/18/2024,2506,Turbocharger,1,1480.74,1480.74
PO00095,1/24/2024,2506,Coolant,4,20.97,83.88
PO00096,1/10/2024,2506,Headlight,1,67.46,67.46
PO00097,1/16/2024,2506,Tire,1,522.82,522.82
PO00098,1/24/2024,2506,Suspension Kit,3,285.31,855.93
PO00099,1/24/2024,2506,Transmission Fluid,1,58.4,58.4
PO00100,1/24/2024,2506,Belt,2,41.68,83.36
PO00101,1/8/2024,2507,Coolant,2,44.7,89.4
PO00102,1/8/2024,2507,Oil Filter,1,14.74,14.74
PO00103,1/8/2024,2507,Turbocharger,4,1162.58,4650.32
PO00104,1/28/2024,2507,Fuse,2,4.78,9.56
PO00105,1/28/2024,2507,Turbocharger,2,824.92,1649.84
PO00106,1/26/2024,2507,Air Hose,2,38.94,77.88
PO00107,1/20/2024,2507,Transmission Fluid,3,43.18,129.54
PO00108,1/8/2024,2507,Air Hose,1,24.42,24.42
PO00109,1/8/2024,2507,Coolant,2,42.6,85.2
PO00110,1/8/2024,2507,Fuel Filter,1,15.53,15.53
PO00111,1/13/2024,2507,Coolant,3,38.12,114.36
PO00112,1/13/2024,2507,Transmission Fluid,1,27.54,27.54
PO00113,1/18/2024,2508,Brake Pads,1,146.54,146.54
PO00114,1/18/2024,2508,Suspension Kit,4,289.94,1159.76
PO00115,1/18/2024,2508,Headlight,4,82.36,329.44
PO00116,1/28/2024,2508,Brake Pads,4,127.63,510.52
PO00117,1/22/2024,2508,Fuel Filter,1,21,21
PO00118,1/7/2024,2508,Engine Oil,2,47.78,95.56
PO00119,1/7/2024,2508,Belt,1,49.32,49.32
PO00120,1/26/2024,2508,EGR Valve,1,170.01,170.01
PO00121,1/5/2024,2508,Air Filter,1,18.03,18.03
PO00122,1/16/2024,2508,Suspension Kit,4,289.3,1157.2
PO00123,1/5/2024,2508,Tire,3,398.91,1196.73
PO00124,1/10/2024,2508,Belt,3,26.42,79.26
PO00125,1/10/2024,2508,Coolant,4,42.92,171.68
PO00126,1/16/2024,2509,Fuel Filter,1,19.92,19.92
PO00127,1/27/2024,2509,Transmission Fluid,4,53.71,214.84
PO00128,1/27/2024,2509,Fuel Filter,3,17.02,51.06
PO00129,1/27/2024,2509,EGR Valve,2,206.26,412.52
PO00130,1/19/2024,2509,Air Hose,4,34.75,139
PO00131,1/19/2024,2509,Tire,2,473.49,946.98
PO00132,1/19/2024,2509,EGR Valve,3,286.81,860.43
PO00133,1/19/2024,2509,Coolant,3,26,78
PO00134,1/10/2024,2509,Turbocharger,1,844.96,844.96
PO00135,1/21/2024,2509,Engine Oil,2,37.26,74.52
PO00136,1/25/2024,2509,Headlight,3,82.04,246.12
PO00137,1/25/2024,2509,Brake Pads,1,134.95,134.95
PO00138,1/3/2024,2509,Engine Oil,3,54.48,163.44
PO00139,1/3/2024,2509,Transmission Fluid,4,40.81,163.24
PO00140,1/3/2024,2509,Fuse,4,8.05,32.2
PO00141,1/5/2024,2510,Headlight,2,66.91,133.82
PO00142,1/17/2024,2510,Air Hose,3,18.01,54.03
PO00143,1/7/2024,2510,Fuse,1,9.82,9.82
PO00144,1/7/2024,2510,Turbocharger,1,1454.98,1454.98
PO00145,1/7/2024,2510,Headlight,4,63.3,253.2
PO00146,1/16/2024,2510,Brake Pads,1,75.21,75.21
PO00147,1/16/2024,2510,Belt,4,31.04,124.16
PO00148,1/16/2024,2510,Transmission Fluid,4,36.61,146.44
PO00149,1/4/2024,2510,Air Hose,4,16.06,64.24
PO00150,1/4/2024,2510,Brake Pads,4,80.84,323.36
PO00151,1/26/2024,2510,Fuel Filter,3,28.53,85.59
PO00152,1/26/2024,2510,Fuse,3,9.92,29.76
PO00153,1/11/2024,2510,Air Filter,2,20.2,40.4
PO00154,1/11/2024,2510,Fuel Filter,1,27.18,27.18
PO00155,1/8/2024,2510,Engine Oil,4,66.94,267.76
PO00156,1/13/2024,2511,Oil Filter,3,14.17,42.51
PO00157,1/13/2024,2511,Air Hose,1,31.39,31.39
PO00158,1/22/2024,2511,Fuel Filter,2,27.28,54.56
PO00159,1/13/2024,2511,Brake Pads,3,96.45,289.35
PO00160,1/13/2024,2511,Headlight,3,60.2,180.6
PO00161,1/13/2024,2511,Turbocharger,3,1440.85,4322.55
PO00162,1/9/2024,2511,Engine Oil,4,59.01,236.04
PO00163,1/9/2024,2511,Air Hose,1,28.43,28.43
PO00164,1/9/2024,2511,Headlight,1,52.76,52.76
PO00165,1/28/2024,2511,Tire,3,445.93,1337.79
PO00166,1/12/2024,2511,Air Hose,2,21.22,42.44
PO00167,1/11/2024,2512,Transmission Fluid,4,35.88,143.52
PO00168,1/15/2024,2512,Engine Oil,3,43.18,129.54
PO00169,1/15/2024,2512,Headlight,4,74.22,296.88
PO00170,1/15/2024,2512,Air Filter,3,24.22,72.66
PO00171,1/22/2024,2512,Coolant,3,34.12,102.36
PO00172,1/22/2024,2512,Fuel Filter,4,12.53,50.12
PO00173,1/22/2024,2512,Belt,1,33.53,33.53
PO00174,1/16/2024,2512,Coolant,4,22.45,89.8
PO00175,1/28/2024,2512,Belt,1,34.37,34.37
PO00176,1/5/2024,2512,Fuse,1,8.49,8.49
PO00177,1/1/2024,2512,Transmission Fluid,4,27.98,111.92
PO00178,1/1/2024,2512,Turbocharger,1,1285.38,1285.38
PO00179,1/1/2024,2512,Brake Pads,4,108.3,433.2
PO00180,1/3/2024,2512,EGR Valve,4,210.2,840.8
PO00181,1/2/2024,2512,Suspension Kit,1,320.59,320.59
PO00182,1/2/2024,2512,Belt,3,37.49,112.47
PO00183,1/2/2024,2512,Fuel Filter,1,27.27,27.27
PO00184,1/24/2024,2512,Transmission Fluid,3,32.36,97.08
PO00185,1/24/2024,2512,Oil Filter,3,8.74,26.22
PO00186,1/26/2024,2513,Coolant,2,24.19,48.38
PO00187,1/26/2024,2513,Turbocharger,4,1455.13,5820.52
PO00188,1/28/2024,2513,Coolant,4,29.85,119.4
PO00189,1/28/2024,2513,Engine Oil,2,45.83,91.66
PO00190,1/28/2024,2513,Tire,3,498.57,1495.71
PO00191,1/5/2024,2513,Belt,1,47.11,47.11
PO00192,1/5/2024,2513,EGR Valve,4,154.74,618.96
PO00193,1/5/2024,2513,Coolant,3,47.79,143.37
PO00194,1/9/2024,2513,Coolant,3,26.99,80.97
PO00195,1/9/2024,2513,Tire,4,585.26,2341.04
PO00196,1/9/2024,2513,Headlight,1,77.4,77.4
PO00197,1/26/2024,2513,Fuse,1,3.1,3.1
PO00198,1/26/2024,2513,Coolant,4,44.06,176.24
PO00199,1/26/2024,2513,Brake Pads,1,115.67,115.67
PO00200,1/15/2024,2513,Transmission Fluid,4,51.66,206.64
PO00201,1/15/2024,2514,Air Hose,3,19.84,59.52
PO00202,1/15/2024,2514,Headlight,2,48.91,97.82
PO00203,1/15/2024,2514,EGR Valve,1,242.12,242.12
PO00204,1/24/2024,2514,Air Filter,3,24.76,74.28
PO00205,1/24/2024,2514,EGR Valve,3,253.66,760.98
PO00206,1/24/2024,2514,Engine Oil,2,44.64,89.28
PO00207,1/4/2024,2514,Transmission Fluid,3,33.55,100.65
PO00208,1/5/2024,2514,EGR Valve,1,193.1,193.1
PO00209,1/16/2024,2514,Air Hose,2,30.35,60.7
PO00210,1/16/2024,2514,Fuel Filter,4,12.89,51.56
PO00211,1/11/2024,2514,Coolant,1,32.53,32.53
PO00212,1/3/2024,2514,Headlight,4,53.92,215.68
PO00213,1/3/2024,2514,Turbocharger,1,907.7,907.7
PO00214,1/3/2024,2514,Coolant,3,22.52,67.56
PO00215,1/19/2024,2514,Tire,2,579.48,1158.96
PO00216,1/19/2024,2514,Air Filter,1,17.8,17.8
PO00217,1/21/2024,2514,Air Filter,1,11.13,11.13
PO00218,1/21/2024,2514,Fuel Filter,4,20.54,82.16
PO00219,1/21/2024,2514,Engine Oil,1,61.16,61.16
PO00220,1/17/2024,2514,Brake Pads,2,58.02,116.04
PO00221,1/25/2024,2514,Suspension Kit,2,374.38,748.76
PO00222,1/25/2024,2514,Coolant,3,46.62,139.86
PO00223,1/15/2024,2515,Transmission Fluid,1,45.1,45.1
PO00224,1/15/2024,2515,Brake Pads,1,149.61,149.61
PO00225,1/3/2024,2515,Turbocharger,1,1457.64,1457.64
PO00226,1/3/2024,2515,Tire,3,483.97,1451.91
PO00227,1/26/2024,2515,Suspension Kit,3,324.34,973.02
PO00228,1/26/2024,2515,Fuse,4,3.36,13.44
PO00229,1/28/2024,2515,Suspension Kit,4,315.01,1260.04
