WorkOrderID,Date,TruckID,DriverID,IssueType,RepairReason,LaborHours,Mechanic,IsWarranty,VendorUsed,LaborCost,PartsCost,TotalCost
WO00001,1/20/2024,2501,1,Reactive,Roadside Repair,2.89,Lead_1,FALSE,FALSE,115.6,141.69,257.29
WO00002,1/19/2024,2501,1,Preventative,Oil Change,1.83,Lead_1,FALSE,FALSE,73.2,131.44,204.64
WO00003,1/3/2024,2501,1,Preventative,Oil Change,3.83,Tech_1,FALSE,FALSE,122.56,185.62,308.18
WO00004,1/28/2024,2501,1,Preventative,Brake Pad Replacement,2.6,Lead_2,FALSE,FALSE,104,356.92,460.92
WO00005,1/17/2024,2501,1,Reactive,Coolant Leak,0.69,Lead_2,FALSE,FALSE,27.6,779.53,807.13
WO00006,1/15/2024,2501,1,Reactive,Tire Repair,1.3,Lead_2,FALSE,FALSE,52,421.1,473.1
WO00007,1/25/2024,2501,1,Preventative,Oil Change,1.18,Lead_1,FALSE,FALSE,47.2,70.74,117.94
WO00008,1/4/2024,2501,1,Reactive,Roadside Repair,2.04,Assistant,FALSE,FALSE,44.88,32.45,77.33
WO00009,1/2/2024,2501,1,Reactive,Air Hose Leak,0.99,Lead_1,FALSE,FALSE,39.6,406.24,445.84
WO00010,1/15/2024,2501,1,Preventative,Air Filter Replacement,1.23,Assistant,FALSE,FALSE,27.06,609.18,636.24
WO00011,1/6/2024,2501,1,Preventative,Brake Pad Replacement,0.63,Tech_2,FALSE,FALSE,20.16,676.98,697.14
WO00012,1/12/2024,2501,1,Reactive,Roadside Repair,2.89,Lead_1,FALSE,FALSE,115.6,739.06,854.66
WO00013,1/23/2024,2502,2,Reactive,Coolant Leak,3.88,Lead_1,FALSE,FALSE,155.2,602.91,758.11
WO00014,1/15/2024,2502,2,Reactive,Engine Overheating,1.62,Lead_1,FALSE,FALSE,64.8,443.3,508.1
WO00015,1/9/2024,2502,2,Preventative,Brake Pad Replacement,0.56,Lead_2,FALSE,FALSE,22.4,350.25,372.65
WO00016,1/1/2024,2502,2,Preventative,Brake Pad Replacement,3.76,Vendor,FALSE,TRUE,0,571.35,571.35
WO00017,1/3/2024,2502,2,Reactive,Transmission Trouble,4.21,Assistant,FALSE,FALSE,92.62,527.84,620.46
WO00018,1/28/2024,2502,2,Reactive,Blown Tire - Curb Damage,1.82,Assistant,FALSE,FALSE,40.04,69.58,109.62
WO00019,1/23/2024,2502,2,Reactive,Air Hose Leak,2.87,Lead_1,FALSE,FALSE,114.8,234.28,349.08
WO00020,1/3/2024,2502,2,Reactive,Tire Repair,3.35,Vendor,FALSE,TRUE,0,613.41,613.41
WO00021,1/26/2024,2502,2,Preventative,Brake Pad Replacement,0.66,Lead_2,FALSE,FALSE,26.4,574.32,600.72
WO00022,1/26/2024,2502,2,Preventative,Oil Change,0.63,Vendor,FALSE,TRUE,0,516.4,516.4
WO00023,1/20/2024,2502,2,Reactive,Check Engine Light,1.06,Tech_2,FALSE,FALSE,33.92,491.45,525.37
WO00024,1/11/2024,2503,3,Preventative,Brake Pad Replacement,2.9,Lead_2,FALSE,FALSE,116,561.93,677.93
WO00025,1/28/2024,2503,3,Reactive,Roadside Repair,3.03,Tech_2,FALSE,FALSE,96.96,699.74,796.7
WO00026,1/28/2024,2503,3,Preventative,Brake Pad Replacement,4.03,Assistant,FALSE,FALSE,88.66,272.99,361.65
WO00027,1/23/2024,2503,3,Reactive,Blown Tire - Curb Damage,0.94,Tech_1,FALSE,FALSE,30.08,197.79,227.87
WO00028,1/25/2024,2503,3,Reactive,Transmission Trouble,0.53,Lead_1,FALSE,FALSE,21.2,418.38,439.58
WO00029,1/9/2024,2503,3,Reactive,Coolant Leak,1.58,Lead_2,FALSE,FALSE,63.2,210.42,273.62
WO00030,1/27/2024,2503,3,Preventative,Tire Replacement,3.31,Tech_2,FALSE,FALSE,105.92,303.63,409.55
WO00031,1/17/2024,2503,3,Preventative,Brake Pad Replacement,3.29,Tech_1,FALSE,FALSE,105.28,575.57,680.85
WO00032,1/5/2024,2503,3,Preventative,Brake Pad Replacement,2.94,Vendor,FALSE,TRUE,0,412.09,412.09
WO00033,1/22/2024,2503,3,Preventative,Oil Change,3.04,Lead_2,FALSE,FALSE,121.6,550.95,672.55
WO00034,1/21/2024,2503,3,Reactive,Coolant Leak,1.47,Lead_2,FALSE,FALSE,58.8,544.27,603.07
WO00035,1/11/2024,2503,3,Preventative,Tire Replacement,3.71,Tech_1,FALSE,FALSE,118.72,386.83,505.55
WO00036,1/6/2024,2504,4,Preventative,Tire Replacement,3.69,Lead_1,FALSE,FALSE,147.6,137.56,285.16
WO00037,1/27/2024,2504,4,Preventative,Brake Pad Replacement,2.86,Vendor,FALSE,TRUE,0,548.5,548.5
WO00038,1/19/2024,2504,4,Reactive,Fuel System Issue,1.89,Tech_2,FALSE,FALSE,60.48,95.02,155.5
WO00039,1/9/2024,2504,4,Reactive,Air Hose Leak,4.25,Lead_1,FALSE,FALSE,170,127.27,297.27
WO00040,1/28/2024,2504,4,Reactive,Fuel System Issue,2.67,Tech_1,FALSE,FALSE,85.44,562.71,648.15
WO00041,1/7/2024,2504,4,Reactive,Electrical Fault,2.72,Tech_1,FALSE,FALSE,87.04,433.13,520.17
WO00042,1/2/2024,2504,4,Reactive,EGR Valve Replacement,2.73,Assistant,FALSE,FALSE,60.06,708.46,768.52
WO00043,1/9/2024,2505,5,Preventative,Brake Pad Replacement,3.89,Tech_1,FALSE,FALSE,124.48,687.93,812.41
WO00044,1/22/2024,2505,5,Reactive,Suspension Issue,0.84,Lead_1,FALSE,FALSE,33.6,146.07,179.67
WO00045,1/6/2024,2505,5,Reactive,Air Hose Leak,1.99,Tech_2,FALSE,FALSE,63.68,753.3,816.98
WO00046,1/25/2024,2505,5,Preventative,Oil Change,2.69,Assistant,FALSE,FALSE,59.18,559.68,618.86
WO00047,1/16/2024,2505,5,Reactive,EGR Valve Replacement,0.57,Lead_1,FALSE,FALSE,22.8,405.24,428.04
WO00048,1/16/2024,2505,5,Reactive,Suspension Issue,3.9,Tech_2,FALSE,FALSE,124.8,532.94,657.74
